avisClient
“Bonne compagnie” 02/01/2019“Excellent et ponctuel” 03/11/2018
“Bonne compagnie” 11/03/2019“tranquille” 11/03/2019
“"Aer Loingeas" flotte aérienne.” 13/03/2019“Service assuré” 26/02/2019
“Agréablement surpris.” 13/03/2019“Très bien a part la nourriture” 13/03/2019
“changement d'horaire de vol : 5 h en avance et pas prévenu” 13/03/2019“Attention aux bagages compris ou non” 10/03/2019
“Impossible de se faire rembourser un vol annulé !” 11/01/2018“Une petite compagnie mexicaine qui fait bien le boulot” 27/11/2017
“vol très moyen” 13/03/2019“Mauvaise expérience ” 10/03/2019
